ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
1,77,18,2023-12-23,3,"Average experience, nothing special.",-0.3089,Negative,Negative
2,80,19,2024-12-25,5,The quality is  top-notch.,0.0,Positive,Neutral
3,50,13,2025-01-26,4,Five stars for the quick delivery.,0.0,Positive,Neutral
4,78,15,2025-04-21,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
5,64,2,2023-07-16,3,"Average experience, nothing special.",-0.3089,Negative,Negative
6,81,1,2025-12-21,4,Customer support was very helpful.,0.6997,Positive,Very Positive
7,16,1,2024-01-29,3,"Average experience, nothing special.",-0.3089,Negative,Negative
8,55,8,2024-08-15,5,The quality  is top-notch.,0.0,Positive,Neutral
9,3,13,2023-09-01,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
10,78,6,2024-06-17,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
11,54,9,2023-07-17,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
12,77,2,2025-01-13,2,Product did  not meet my expectations.,0.0,Negative,Neutral
13,93,6,2024-08-20,5,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
14,23,2,2025-06-16,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
15,29,11,2023-01-27,5,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
16,95,17,2023-01-06,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
17,88,4,2025-10-29,3,Not worth the money.,-0.1695,Negative,Neutral
18,17,16,2024-11-23,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
19,34,13,2024-01-04,4,The quality is top-notch.,0.0,Positive,Neutral
20,34,6,2023-04-29,1,I had a bad experience with this product.,-0.5423,Negative,Negative
21,22,15,2023-04-08,5,Amazing value for the price.,0.7351,Positive,Very Positive
22,52,3,2025-10-30,4,The quality is top-notch.,0.0,Positive,Neutral
23,69,18,2023-07-02,5,Five stars for the quick delivery.,0.0,Positive,Neutral
24,100,4,2025-07-18,3,"I love this  product, will buy again!",0.6696,Positive,Very Positive
25,55,20,2024-12-19,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
26,76,11,2024-08-21,4,Five stars for the quick delivery.,0.0,Positive,Neutral
27,56,6,2025-11-24,4,The quality is top-notch.,0.0,Positive,Neutral
28,76,8,2025-05-27,5,Five stars for the quick delivery.,0.0,Positive,Neutral
29,38,13,2023-05-31,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
30,84,6,2024-03-18,4,Five stars for the quick delivery.,0.0,Positive,Neutral
31,93,4,2025-08-25,3,"Good quality, but could be  cheaper.",0.2382,Positive,Positive
32,91,1,2023-07-15,4,The quality is top-notch.,0.0,Positive,Neutral
33,30,2,2023-02-21,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
34,81,15,2024-03-30,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
35,27,12,2024-03-13,3,"Average experience, nothing special.",-0.3089,Negative,Negative
36,96,9,2025-12-05,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
37,38,3,2023-09-11,3,"Average experience, nothing  special.",-0.3089,Negative,Negative
38,45,17,2024-05-07,5,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
39,54,1,2023-10-02,5,Customer support was very helpful.,0.6997,Positive,Very Positive
40,33,2,2025-01-03,5,Five stars  for the quick delivery.,0.0,Positive,Neutral
41,93,17,2025-05-15,3,"Average experience, nothing special.",-0.3089,Negative,Negative
42,72,15,2023-03-21,5,Five stars for the quick delivery.,0.0,Positive,Neutral
43,84,15,2025-02-02,4,Exceeded my  expectations!,0.0,Positive,Neutral
44,44,17,2023-04-20,5,"Excellent product,  highly recommend!",0.7773,Positive,Very Positive
45,11,16,2023-03-23,3,Not worth the money.,-0.1695,Negative,Neutral
46,27,5,2025-05-07,4,Five stars for the quick delivery.,0.0,Positive,Neutral
47,19,13,2024-06-01,4,Five stars for the quick delivery.,0.0,Positive,Neutral
48,70,17,2023-10-08,4,Shipping was fast and the item  was well-packaged.,0.0,Positive,Neutral
49,3,7,2025-06-09,3,"Good quality, but could  be cheaper.",0.2382,Positive,Positive
50,62,4,2023-01-07,1,The product stopped working after a month.,-0.2263,Negative,Negative
51,49,17,2023-04-14,4,Five stars for the quick delivery.,0.0,Positive,Neutral
52,75,11,2024-04-07,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
53,73,18,2025-12-28,4,Five stars for  the quick delivery.,0.0,Positive,Neutral
54,33,8,2023-05-03,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
55,57,9,2025-11-03,3,Customer support was  very helpful.,0.6997,Positive,Very Positive
56,15,10,2025-12-11,3,Shipping was fast and the item was well-packaged.,0.0,Neutral,Neutral
57,41,10,2024-04-06,2,Disappointed with the performance.,-0.4767,Negative,Negative
58,78,7,2024-07-16,2,"The product  is okay, but the instructions were unclear.",-0.2617,Negative,Negative
59,98,9,2024-09-01,4,The build quality is impressive.,0.5106,Positive,Positive
60,11,16,2023-12-27,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
61,50,19,2023-02-24,4,"Great purchase,  very satisfied.",0.8016,Positive,Very Positive
62,35,17,2023-03-18,2,"Average experience, nothing special.",-0.3089,Negative,Negative
63,93,2,2025-01-05,4,Five stars for the quick delivery.,0.0,Positive,Neutral
64,86,11,2025-10-30,4,Customer support was very helpful.,0.6997,Positive,Very Positive
65,34,3,2024-06-15,1,Not worth the money.,-0.1695,Negative,Neutral
66,94,16,2023-06-17,4,"I love this product, will buy  again!",0.6696,Positive,Very Positive
67,67,13,2025-04-12,3,"Average experience, nothing special.",-0.3089,Negative,Negative
68,38,7,2023-03-23,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
69,77,12,2025-08-03,3,Five stars for the quick delivery.,0.0,Neutral,Neutral
70,93,5,2024-01-30,4,Shipping was fast  and the item was well-packaged.,0.0,Positive,Neutral
71,24,11,2025-07-28,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
72,29,4,2023-05-29,5,The  build quality is impressive.,0.5106,Positive,Positive
73,68,19,2025-05-05,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
74,59,9,2023-05-16,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
75,22,3,2024-01-13,5,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
76,9,10,2025-08-31,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
77,74,5,2023-03-15,4,"Great purchase,  very satisfied.",0.8016,Positive,Very Positive
78,6,10,2024-12-09,5,Five stars for the quick delivery.,0.0,Positive,Neutral
79,84,15,2024-05-28,2,The product arrived  late.,0.0,Negative,Neutral
80,98,16,2025-05-24,3,Not worth the money.,-0.1695,Negative,Neutral
81,3,19,2024-09-04,4,Five stars for the quick delivery.,0.0,Positive,Neutral
82,78,13,2023-05-02,4,Shipping  was fast and the item was well-packaged.,0.0,Positive,Neutral
83,32,11,2025-05-26,4,The quality is  top-notch.,0.0,Positive,Neutral
84,40,20,2023-07-17,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
85,17,6,2025-10-25,5,Five stars for the quick delivery.,0.0,Positive,Neutral
86,78,3,2025-10-06,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
87,89,17,2023-05-26,3,Not  worth the money.,-0.1695,Negative,Neutral
88,93,19,2025-08-26,4,Exceeded my expectations!,0.0,Positive,Neutral
89,60,3,2024-07-08,3,The quality is top-notch.,0.0,Neutral,Neutral
90,47,17,2025-11-12,4,Five stars for the quick delivery.,0.0,Positive,Neutral
91,4,16,2025-09-27,3,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
92,2,16,2023-11-21,3,Not worth the money.,-0.1695,Negative,Neutral
93,60,13,2024-09-05,3,Not worth the money.,-0.1695,Negative,Neutral
94,2,16,2025-03-14,4,The quality is top-notch.,0.0,Positive,Neutral
95,16,16,2024-04-07,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
96,19,13,2023-09-02,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
97,64,6,2024-01-19,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
98,96,3,2025-11-20,5,Exceeded my expectations!,0.0,Positive,Neutral
99,79,16,2025-01-29,2,"Average experience, nothing special.",-0.3089,Negative,Negative
100,9,2,2025-06-20,3,Not worth the money.,-0.1695,Negative,Neutral
101,61,18,2024-09-11,5,The build quality is impressive.,0.5106,Positive,Positive
102,4,2,2025-08-22,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
103,82,14,2024-11-17,5,The quality is top-notch.,0.0,Positive,Neutral
104,96,5,2023-01-06,4,"I love  this product, will buy again!",0.6696,Positive,Very Positive
105,32,12,2024-08-27,2,The product  arrived late.,0.0,Negative,Neutral
